date,sku,stock_eod_qty,oos_flag,verified_available_flag,gross_sales_qty,return_qty,net_sales_qty,demand_baseline_qty,lost_sales_qty,lost_sales_value_est,ps_prijem_qty,ps_prijem_value,ps_unit_cost,lost_purchase_cost_est,lost_profit_est,sp_unit_net_price,sp_discount_share,sp_qty,sp_net_value,method_used,confidence_score,poslato_sum,pristiglo_sum,prvi_verifikovan_dt
2026-01-16,AF-10,19.0,0,1,1.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,68.0,68.0,2024-06-11
2026-01-17,AF-10,19.0,0,1,0.0,0.0,0.0,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,68.0,68.0,2024-06-11
2026-01-18,AF-10,19.0,0,1,0.0,0.0,0.0,0.12800000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,68.0,68.0,2024-06-11
2026-01-19,AF-10,18.0,0,1,1.0,0.0,1.0,0.30240000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,68.0,68.0,2024-06-11
2026-01-06,AF-4,47.0,0,1,1.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,1.0,4450.0,EWMA_FALLBACK,0.2,160.0,160.0,2024-06-11
2026-01-07,AF-4,47.0,0,1,0.0,0.0,0.0,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,160.0,160.0,2024-06-11
2026-01-08,AF-4,47.0,0,1,0.0,0.0,0.0,0.12800000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,160.0,160.0,2024-06-11
2026-01-09,AF-4,47.0,0,1,0.0,0.0,0.0,0.10240000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,160.0,160.0,2024-06-11
2026-01-10,AF-4,47.0,0,1,0.0,0.0,0.0,0.08192000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,160.0,160.0,2024-06-11
2026-01-11,AF-4,47.0,0,1,0.0,0.0,0.0,0.06553600000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,160.0,160.0,2024-06-11
2026-01-12,AF-4,47.0,0,1,0.0,0.0,0.0,0.052428800000000025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,160.0,160.0,2024-06-11
2026-01-13,AF-4,46.0,0,1,1.0,0.0,1.0,0.24194304000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,1.0,4450.0,EWMA_FALLBACK,0.2,160.0,160.0,2024-06-11
2026-01-14,AF-4,45.0,0,1,1.0,0.0,1.0,0.39355443200000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,1.0,4450.0,EWMA_FALLBACK,0.2,160.0,160.0,2024-06-11
2026-01-15,AF-4,45.0,0,1,0.0,0.0,0.0,0.31484354560000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,160.0,160.0,2024-06-11
2026-01-16,AF-4,45.0,0,1,0.0,0.0,0.0,0.25187483648000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,160.0,160.0,2024-06-11
2026-01-17,AF-4,45.0,0,1,0.0,0.0,0.0,0.20149986918400004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,160.0,160.0,2024-06-11
2026-01-18,AF-4,45.0,0,1,0.0,0.0,0.0,0.16119989534720003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,0.0,0.0,0.0,EWMA_FALLBACK,0.2,160.0,160.0,2024-06-11
