sku,oos_start,oos_end,controls
P073,2026-01-15,2026-01-15,"[{""control_sku"": ""Svetlo plavi kratki opk (KRO-613 ) kom"", ""corr"": 0.8353441907249961, ""overlap_days"": 14, ""ratio"": 0.6}, {""control_sku"": ""OPK-2"", ""corr"": 0.787878787878788, ""overlap_days"": 14, ""ratio"": 0.5}, {""control_sku"": ""BD-6"", ""corr"": 0.7817359599705714, ""overlap_days"": 14, ""ratio"": 1.5}, {""control_sku"": ""PR11"", ""corr"": 0.7817359599705714, ""overlap_days"": 14, ""ratio"": 1.5}, {""control_sku"": ""RR-MHG"", ""corr"": 0.7817359599705714, ""overlap_days"": 14, ""ratio"": 1.5}]"
P078,2026-01-19,2026-01-19,"[{""control_sku"": ""AF-MHG"", ""corr"": 1.0, ""overlap_days"": 18, ""ratio"": 1.0}, {""control_sku"": ""PR16"", ""corr"": 1.0, ""overlap_days"": 18, ""ratio"": 0.5}, {""control_sku"": ""PR19"", ""corr"": 1.0, ""overlap_days"": 18, ""ratio"": 1.0}, {""control_sku"": ""PR4"", ""corr"": 1.0, ""overlap_days"": 18, ""ratio"": 1.0}, {""control_sku"": ""PR5"", ""corr"": 1.0, ""overlap_days"": 17, ""ratio"": 1.0}]"
P084,2026-01-19,2026-01-19,"[{""control_sku"": ""BD-SMEDPR"", ""corr"": 0.8000055553990958, ""overlap_days"": 18, ""ratio"": 0.45454545454545453}, {""control_sku"": ""Tamno plavi kratki opk (KRO-k16 ) kom"", ""corr"": 0.7739572992033213, ""overlap_days"": 18, ""ratio"": 2.5000000000000004}, {""control_sku"": ""AF-6"", ""corr"": 0.7481290972721266, ""overlap_days"": 18, ""ratio"": 5.000000000000001}, {""control_sku"": ""EKS-PLO"", ""corr"": 0.7481290972721266, ""overlap_days"": 18, ""ratio"": 2.5000000000000004}, {""control_sku"": ""RR-K16"", ""corr"": 0.7481290972721266, ""overlap_days"": 18, ""ratio"": 2.5000000000000004}]"
P094,2026-01-21,2026-01-21,"[{""control_sku"": ""DR-6"", ""corr"": 1.0, ""overlap_days"": 15, ""ratio"": 1.0}, {""control_sku"": ""P099"", ""corr"": 1.0, ""overlap_days"": 15, ""ratio"": 1.0}, {""control_sku"": ""Srednje plavi (RR-SRP ) kom"", ""corr"": 0.8882347881956886, ""overlap_days"": 15, ""ratio"": 0.3333333333333333}, {""control_sku"": ""Platinum (RR-PLAT ) kom"", ""corr"": 0.6813851438692466, ""overlap_days"": 15, ""ratio"": 0.5}, {""control_sku"": ""AF-4"", ""corr"": 0.6813851438692465, ""overlap_days"": 15, ""ratio"": 0.5}]"
P095,2026-01-15,2026-01-15,"[{""control_sku"": ""EKS-PLAT"", ""corr"": 0.9999999999999999, ""overlap_days"": 14, ""ratio"": 1.0}, {""control_sku"": ""EKSOPK-6"", ""corr"": 0.9999999999999999, ""overlap_days"": 14, ""ratio"": 1.0}, {""control_sku"": ""Najtamnija smeda afro (AF-2 ) kom"", ""corr"": 0.9999999999999999, ""overlap_days"": 14, ""ratio"": 1.0}, {""control_sku"": ""BD-2"", ""corr"": 0.8416254115301731, ""overlap_days"": 14, ""ratio"": 0.5}, {""control_sku"": ""BD-613"", ""corr"": 0.8416254115301731, ""overlap_days"": 14, ""ratio"": 0.5}]"
P099,2026-01-16,2026-01-16,"[{""control_sku"": ""Mahagoni kratki opk (KRO-MHG ) kom"", ""corr"": 1.0, ""overlap_days"": 15, ""ratio"": 1.0}, {""control_sku"": ""Srednje plavi (RR-SRP ) kom"", ""corr"": 0.8882347881956886, ""overlap_days"": 15, ""ratio"": 0.3333333333333333}, {""control_sku"": ""Platinum (RR-PLAT ) kom"", ""corr"": 0.6813851438692466, ""overlap_days"": 15, ""ratio"": 0.5}, {""control_sku"": ""RR-4"", ""corr"": 0.6813851438692466, ""overlap_days"": 15, ""ratio"": 0.5}, {""control_sku"": ""Tamno smedi kratki opk (KRO-4 ) kom"", ""corr"": 0.6813851438692466, ""overlap_days"": 15, ""ratio"": 0.5}]"
PR5,2026-01-15,2026-01-15,"[{""control_sku"": ""AF-MHG"", ""corr"": 0.9999999999999998, ""overlap_days"": 14, ""ratio"": 1.0}, {""control_sku"": ""P078"", ""corr"": 0.9999999999999998, ""overlap_days"": 14, ""ratio"": 1.0}, {""control_sku"": ""PR16"", ""corr"": 0.9999999999999998, ""overlap_days"": 14, ""ratio"": 0.5}, {""control_sku"": ""PR19"", ""corr"": 0.9999999999999998, ""overlap_days"": 14, ""ratio"": 1.0}, {""control_sku"": ""PR4"", ""corr"": 0.9999999999999998, ""overlap_days"": 14, ""ratio"": 1.0}]"
U-10,2026-01-22,2026-01-22,"[{""control_sku"": ""Rep smeda OPK (OPK-6 ) kom"", ""corr"": 0.8900491559458948, ""overlap_days"": 21, ""ratio"": 0.3333333333333333}, {""control_sku"": ""Najtamnija smeda (RR-2 ) kom"", ""corr"": 0.8101627221513195, ""overlap_days"": 21, ""ratio"": 0.25}, {""control_sku"": ""P066"", ""corr"": 0.6892024376045109, ""overlap_days"": 21, ""ratio"": 0.5}]"
