python : import time: self [us] | cumulative | imported package
At line:1 char:1
+ python -X importtime .\SRB1.2-razvoj.py ui 2>&1 | Out-File .\importti ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (import time: se...mported package:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
import time:      2001 |       2037 |                   typing
import time:       298 |        298 |                       numpy._typing._nbit_base
import time:       301 |        301 |                       numpy._typing._nested_sequence
import time:       213 |        213 |                       numpy._typing._shape
import time:      1776 |       2586 |                     numpy._typing._array_like
import time:      1425 |       1425 |                     numpy._typing._char_codes
import time:      1477 |       1477 |                     numpy._typing._dtype_like
import time:       222 |        222 |                     numpy._typing._nbit
import time:       216 |        216 |                     numpy._typing._scalars
import time:       206 |        206 |                     numpy._typing._ufunc
import time:       446 |       6576 |                   numpy._typing
import time:       308 |        308 |                     numpy.lib._stride_tricks_impl
import time:       373 |        680 |                   numpy.lib._twodim_base_impl
import time:       211 |        211 |                     numpy.lib._array_utils_impl
import time:       213 |        424 |                   numpy.lib.array_utils
import time:       392 |        392 |                   numpy.linalg._umath_linalg
import time:      1250 |      11356 |                 numpy.linalg._linalg
import time:       215 |        215 |                 numpy.linalg.linalg
import time:       288 |      11858 |               numpy.linalg
import time:       435 |      12293 |             numpy.matrixlib.defmatrix
import time:       261 |      12554 |           numpy.matrixlib
import time:       342 |        342 |             numpy.lib._histograms_impl
import time:       915 |       1257 |           numpy.lib._function_base_impl
import time:       213 |        213 |           numpy.lib.stride_tricks
import time:       450 |      14472 |         numpy.lib._index_tricks_impl
import time:       501 |      14972 |       numpy.lib._arraypad_impl
import time:       872 |        872 |       numpy.lib._arraysetops_impl
import time:       260 |        260 |       numpy.lib._arrayterator_impl
import time:       448 |        448 |       numpy.lib._nanfunctions_impl
import time:       455 |        455 |                 _wmi
import time:       811 |       1266 |               platform
import time:       909 |        909 |               textwrap
import time:       324 |       2498 |             numpy.lib._utils_impl
import time:       313 |       2811 |           numpy.lib._format_impl
import time:       213 |       3023 |         numpy.lib.format
import time:       328 |        328 |         numpy.lib._datasource
import time:       383 |        383 |         numpy.lib._iotools
import time:       682 |       4415 |       numpy.lib._npyio_impl
import time:       244 |        244 |           numpy.lib._ufunclike_impl
import time:       340 |        584 |         numpy.lib._type_check_impl
import time:       478 |       1062 |       numpy.lib._polynomial_impl
import time:       401 |        401 |       numpy.lib._shape_base_impl
