VP,Broj,Datum,Opis,Artikal,Kolicina,Nabavna vrednost,Prodajna vrednost,Prodajna cena,U skladiste,ID prometa u zalihama,Marza,SKU
P S,8,2025-12-30,FS251017,Platinum ombre kratki opk(KRO-PP	),25,22922.05,90775,3025.83,Skladište Slanje Paketa,23391397,67852.95,Platinum ombre kratki opk(KRO-PP	)
P S,8,2025-12-30,FS251017,Ekstenzije smede plava ravna(EKS-SMPLV	),10,9168.82,39160,3263.33,Skladište Slanje Paketa,23391397,29991.18,Ekstenzije smede plava ravna(EKS-SMPLV	)
P S,8,2025-12-30,FS251017,EKS-SRP - Ekstenzije srednje plava ravna(EKS-SRP),40,36675.27,178000,3708.33,Skladište Slanje Paketa,23391397,141324.73,EKS-SRP
P S,8,2025-12-30,FS251017,Arijana svetlo plavi(AR-613),20,15717.97,79800,3325.0,Skladište Slanje Paketa,23391397,64082.03,AR-613
P S,8,2025-12-30,FS251017,Ariana tamno plavi(AR-K16),20,15717.97,72620,3025.83,Skladište Slanje Paketa,23391397,56902.03,AR-K16
P S,8,2025-12-30,FS251017,Ariana tamno smedi(AR-4),30,23576.96,119700,3325.0,Skladište Slanje Paketa,23391397,96123.04000000001,AR-4
P S,8,2025-12-30,FS251017,Ariana najtamnija smeda(AR-2),50,39294.94,199500,3325.0,Skladište Slanje Paketa,23391397,160205.06,AR-2
P S,8,2025-12-30,FS251017,Ariana platinum ombre(AR-PLO),20,15717.97,78320,3263.33,Skladište Slanje Paketa,23391397,62602.03,AR-PLO
P S,8,2025-12-30,FS251017,Ariana crni(AR-1B),80,62871.9,290480,3025.83,Skladište Slanje Paketa,23391397,227608.1,AR-1B
P S,8,2025-12-30,FS251017,Ariana smede plavi(AR-SMPLV),35,27506.45,139650,3325.0,Skladište Slanje Paketa,23391397,112143.55,AR-SMPLV
P S,8,2025-12-30,FS251017,PR9(PR9),5,17682.72,52450,8741.67,Skladište Slanje Paketa,23391397,34767.28,PR9
P S,8,2025-12-30,FS251017,PR51(PR51),5,17682.72,52450,8741.67,Skladište Slanje Paketa,23391397,34767.28,PR51
P S,8,2025-12-30,FS251017,Ekstenzije smeda OPK(EKSOPK-6),20,20957.3,95000,3958.33,Skladište Slanje Paketa,23391397,74042.7,EKSOPK-6
P S,8,2025-12-30,FS251017,Ekstenzije crna OPK(EKSOPK-1B),30,31435.95,142500,3958.33,Skladište Slanje Paketa,23391397,111064.05,EKSOPK-1B
P S,8,2025-12-30,FS251017,Ekstenzije tamno smeda OPK(EKSOPK-4),20,20957.3,78320,3263.33,Skladište Slanje Paketa,23391397,57362.7,EKSOPK-4
P S,8,2025-12-30,FS251017,Rep sivo plavi ravni(RR-SIVPL),15,12770.85,58740,3263.33,Skladište Slanje Paketa,23391397,45969.15,RR-SIVPL
P S,8,2025-12-30,FS251017,Arijana smedi ombre(AR-SMO),50,39294.94,181550,3025.83,Skladište Slanje Paketa,23391397,142255.06,AR-SMO
P S,8,2025-12-30,FS251017,Ekstenzije srednje plava OPK(EKSOPK-SRP),40,41914.6,190000,3958.33,Skladište Slanje Paketa,23391397,148085.4,EKSOPK-SRP
P S,8,2025-12-30,FS251017,Ekstenzije tamno plava OPK(EKSOPK-K16),20,20957.3,83600,3483.33,Skladište Slanje Paketa,23391397,62642.7,EKSOPK-K16
P S,8,2025-12-30,FS251017,Ariana bakrena(AR-BAK),20,15717.97,79800,3325.0,Skladište Slanje Paketa,23391397,64082.03,AR-BAK
P S,8,2025-12-30,FS251017,Ekstenzije svetlo smede OPK(EKSOPK-10),30,31435.95,142500,3958.33,Skladište Slanje Paketa,23391397,111064.05,EKSOPK-10
P S,6,2025-11-07,BL20251010-2,PR5(PR5),4,16145.94,47600,9916.67,Skladište Slanje Paketa,22238779,31454.059999999998,PR5
P S,6,2025-11-07,BL20251010-2,P068(P068),5,7339.06,26950,4491.67,Skladište Slanje Paketa,22238779,19610.94,P068
P S,6,2025-11-07,BL20251010-2,P073(P073),5,7339.06,26950,4491.67,Skladište Slanje Paketa,22238779,19610.94,P073
P S,6,2025-11-07,BL20251010-2,P078(P078),6,8806.88,32340,4491.67,Skladište Slanje Paketa,22238779,23533.120000000003,P078
P S,6,2025-11-07,BL20251010-2,P099(P099),6,8806.88,32340,4491.67,Skladište Slanje Paketa,22238779,23533.120000000003,P099
P S,6,2025-11-07,BL20251010-2,PR16(PR16),5,20182.43,59500,9916.67,Skladište Slanje Paketa,22238779,39317.57,PR16
P S,6,2025-11-07,BL20251010-2,PR20(PR20),5,20182.43,59500,9916.67,Skladište Slanje Paketa,22238779,39317.57,PR20
P S,6,2025-11-07,BL20251010-2,PR11(PR11),8,32291.89,95200,9916.67,Skladište Slanje Paketa,22238779,62908.11,PR11
P S,6,2025-11-07,BL20251010-2,PR23(PR23),10,40364.86,119000,9916.67,Skladište Slanje Paketa,22238779,78635.14,PR23
P S,6,2025-11-07,BL20251010-2,PR7(PR7),3,11375.55,35700,9916.67,Skladište Slanje Paketa,22238779,24324.45,PR7
P S,6,2025-11-07,BL20251010-2,Perika PR2(PR2),7,26542.95,83300,9916.67,Skladište Slanje Paketa,22238779,56757.05,PR2
P S,6,2025-11-07,BL20251010-2,Perika PR15(PR15),10,46480.74,119000,9916.67,Skladište Slanje Paketa,22238779,72519.26000000001,PR15
P S,6,2025-11-07,BL20251010-2,Perika PR33(PR33),4,18592.3,47600,9916.67,Skladište Slanje Paketa,22238779,29007.7,PR33
P S,6,2025-11-07,BL20251010-2,Perika PR4(PR4),15,69721.13,178500,9916.67,Skladište Slanje Paketa,22238779,108778.87,PR4
P S,6,2025-11-07,BL20251010-2,Perika PR36(PR36),7,24830.5,73430,8741.67,Skladište Slanje Paketa,22238779,48599.5,PR36
P S,6,2025-11-07,BL20251010-2,Perika PR1(PR1),5,18347.66,59500,9916.67,Skladište Slanje Paketa,22238779,41152.34,PR1
P S,6,2025-11-07,BL20251010-2,Perika P029(P029),5,4281.12,23750,3958.33,Skladište Slanje Paketa,22238779,19468.88,P029
P S,6,2025-11-07,BL20251010-2,Perika P043(P043),10,8562.24,47500,3958.33,Skladište Slanje Paketa,22238779,38937.76,P043
P S,6,2025-11-07,BL20251010-2,Perika P061(P061),15,12843.36,71250,3958.33,Skladište Slanje Paketa,22238779,58406.64,P061
P S,6,2025-11-07,BL20251010-2,Perika P084(P084),8,11742.5,46000,4791.67,Skladište Slanje Paketa,22238779,34257.5,P084
P S,6,2025-11-07,BL20251010-2,Perika P094(P094),5,4892.71,26950,4491.67,Skladište Slanje Paketa,22238779,22057.29,P094
P S,6,2025-11-07,BL20251010-2,Perika P081(P081),9,8806.88,48510,4491.67,Skladište Slanje Paketa,22238779,39703.12,P081
P S,6,2025-11-07,BL20251010-2,Perika P095(P095),10,14678.13,57500,4791.67,Skladište Slanje Paketa,22238779,42821.87,P095
P S,5,2025-10-27,FS250629C,RR-613/K16(RR-613/K16),50,42185.46,222500,3708.33,Skladište Slanje Paketa,22025510,180314.54,RR-613/K16(RR-613/K16)
P S,5,2025-10-27,FS250629C,Platinum ombre kratki opk(KRO-PP	),40,36344.39,159600,3325.0,Skladište Slanje Paketa,22025510,123255.61,Platinum ombre kratki opk(KRO-PP	)
P S,5,2025-10-27,FS250629C,Smede plavi kratki opk(KRO-SMPLV	),50,45430.49,199500,3325.0,Skladište Slanje Paketa,22025510,154069.51,Smede plavi kratki opk(KRO-SMPLV	)
P S,5,2025-10-27,FS250629C,Rep smeda ombre afro(AF-SMO),20,19470.21,89000,3708.33,Skladište Slanje Paketa,22025510,69529.79000000001,AF-SMO
P S,5,2025-10-27,FS250629C,TRK-6 - Rep smedi trakica(TRK-6),20,15576.17,89000,3708.33,Skladište Slanje Paketa,22025510,73423.83,TRK-6
P S,5,2025-10-27,FS250629C,RR-10 - Rep svetlo smeda ravna(RR-10),35,29529.82,155750,3708.33,Skladište Slanje Paketa,22025510,126220.18,RR-10
P S,5,2025-10-27,FS250629C,EKS-K16 - Ekstenzije tamno plava ravna(EKS-K16),40,36344.39,178000,3708.33,Skladište Slanje Paketa,22025510,141655.61,EKS-K16
P S,5,2025-10-27,FS250629C,Ariana najtamnija plava(AR-Najpl),15,11682.13,59850,3325.0,Skladište Slanje Paketa,22025510,48167.87,AR-Najpl
P S,5,2025-10-27,FS250629C,Ariana tamno smedi(AR-4),100,77880.84,399000,3325.0,Skladište Slanje Paketa,22025510,321119.16000000003,AR-4
P S,5,2025-10-27,FS250629C,Ekstenzije svetlo plava(EKS-613),30,27258.3,133500,3708.33,Skladište Slanje Paketa,22025510,106241.7,EKS-613
